"id","query","response"
1,"what is the company name?","the company name is ComputeCore"
2,"when do I get a performance review?","you get a performance review every six months"
3,"what is the dress code?","the company dress code is standard"
4,"do the benefits include 401(k)?","benefits include 401k"
5,"What are the company values","integrity and professionalism"
6,"How Do I Contract E*TRADE?","Go to etrade.com to explore their offerings"
7,"How do I Enroll in Medical Benefits?","Access the Employee Portal"
8,"What collaboration tools do we use","Slack or Microsoft Teams"
9,"What project management tools do we use?","Asana or Trello"
10,"I am having a printer problem","restart the printer"



